id,name,birth,death,publications,bio,photoFileName,hideFromList
1,Жак Шампион де Шамбоньер,~1602,1672,1,,JacquesChampiondeChambonnieres.jpg,
2,Луи Куперен,1626,1661,,,,
103,Жан-Анри д'Англебер,1629,1691,2,,,
104,Никола Лебег,1631,1702,"3,4",,,
105,Жан-Николя Жоффруа,1633,1694,,,,
106,Жак Ардель,1643,1678,,,,
107,Гаспар Ле Ру,~1660,1707,5,,,
108,Николя Сирэ,1663,1754,"6,7",,,
109,Элизабет Жаке де ла Герр,1665,1729,"8,9",,,
110,Шарль Дьюпар,1667,1740,10,,,
111,Франсуа Куперен-Великий,1668,1733,"11,12,13,14",,,
112,Луи Маршан,1669,1732,"15,16",,,
113,Луи Николя Клерамбо,1676,1749,17,,,
114,Луи-Антуан Дорнель,1680,1757,18,,,
115,Жан-Адам Гийон,~1680,~1739,19,,,
116,Жан-Франсуа Дандриё,1682,1738,"20,21,22,23",,,
117,Жан-Филипп Рамо,1683,1764,"24,25,26,27 ",,,
118,Франсуа д’Ажанкур,1684,1758,28,,,
119,Жозеф Бодин Буамортье,1689,1755,29,,,
120,Филипп-Франсуа Верес,~1690,~1742,30,,,
121,Луи-Клод Дакен,1694,1772,31,,,
122,Пьер-Клод Фуке,1694,1772,"32,33,34",,,
123,Жан-Одео Демар,1695,1765,35,,,
124,Пьер Феврие,1696,1760,"36,37",,,
125,Селестон Арс,1698,1778,38,,,
126,Жан-Батист-Антуан Форкре,1699,1782,39,,,
127,Шарль-Александр Жолаж,~1700,1761,40,,,
128,Кристоф Муаро,1700,1774,41,,,
129,Жозеф-Никола-Панкрас Руайе,1705,1755,42,,,
130,Мишель Коретт,1707,1795,43,,,
131,Жан-Батист Барьер,1707,1747,44,,,
132,Жан-Жозеф Кассанеа де Монденвиль,1711,1772,"45,46",,,
133,Жак Дюфли,1715,1789,"47,48,49,50",,,
134,Шарль Нобле,1715,1769,51,,,
135,Бернар де Бюри,1720,1785,52,,,
136,Франц Авер Бек,1723,1809,53,,,
137,Клод Бальбатр,1724,1799,"54,55",,,
138,Арман-Луи Куперен,1727,1789,56,,,
139,Жан-Жак Боварле-Шарпантье,1734,1794,57,,,
140,Симон Симон,1735,1788,"58,59",,,
141,Жан-Франсуа Тепрей,1738,1822,60,,,
142,Жосс-Франсуа-Жозеф Бено,1741,1794,61,,,
143,Жан-Батист Фейзо,1745,1806,62,,,
144,Шарль Куперен,,,,,,true
145,Франсуа Куперен (старший),,,,,,true
146,Маргарита-Антуанетта Куперен,,,,,,true
147,Николя де Гриньи,,,,,,true
148,Жан Дюроше,,,63,,,
149,Ле Брет,,,64,,,
150,Пьер-Жан Ламбер,,,65,,,
